Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.9515666666666667,0.9082697711762344,0.819597898931353,0.861658573740836,0.9785124198031591
Gradient Boosting,0.9527333333333333,0.9121961020695198,0.8223147980438327,0.8649266526957515,0.9803485474084854
