Feature,Importance
DEP_DELAY,0.7837594704834647
TAXI_OUT,0.15329045485419168
TAXI_IN,0.04185220549765099
DISTANCE,0.008313025586632772
OP_CARRIER_AIRLINE_ID,0.006422102169452879
HIGH_DEP_DELAY,0.003132524802626846
DEST_AIRPORT_ID,0.0015487737398920988
DAY_OF_MONTH,0.0012728741702922725
DAY_OF_WEEK,0.00027978604724326797
IS_MONTH_START,8.413676967695938e-05
LONG_DISTANCE,3.0357269325695973e-05
IS_MONTH_END,1.403324264121764e-05
IS_WEEKEND,2.553669084728541e-07
